Transit Depth,orbital_velocity,transit_time,name,orbital_period,tzero_tr,ra,dec,mag_v
0.024126211090903148,1.2269860927436043E7,1.9839263170105632,WASP-80-b,3.0678504,2456125.41751,303.1667,-2.1456,11.881
0.012534448526604274,1.0680915343019689E7,3.4475379617324653,WASP-8-b,8.158715,2454679.33394,359.9,-35.0313889,9.9
0.007743598819875683,1.7521809098846644E7,3.616508855923381,WASP-74-b,2.1377445,2457173.87198,304.54166667,-1.075833342,9.7
0.009697275413486596,1.4219380870847255E7,3.3015677986549865,WASP-70-A-b,3.7130203,2455736.50348,315.475000018,-13.433333355,10.79
0.017859331923639116,1.2726656455434654E7,2.4683165430502543,WASP-69-b,3.8681382,2455748.83344,315.025000002,-5.094444455,9.87
0.009621730102084957,1.747874415600493E7,3.868587751616294,WASP-48-b,2.143634,2455364.55043,291.1625,55.4730556,11.06
2.1898445628444694E-4,2.383587958243882E7,1.8804051663414696,WASP-47-e,0.78961,2456979.76455,331.2041667,-12.0188889,11.9
0.010748604188310066,1.360190108035102E7,3.295209312752511,WASP-47-b,4.15912,2456982.97823,331.2041667,-12.0188889,11.9
0.010448327965858229,1.2674354052353835E7,2.5791057962381294,WASP-29-b,3.922727,2455320.2431,357.8791667,-39.9066667,11.3
0.013767507938721548,1.3087744110059861E7,3.1294332986492726,WASP-21-b,4.3225126,2454743.04217,347.4916667,18.3961111,11.6
0.017685083454898307,1.5862210365704508E7,2.03154746976539,WASP-2-b,2.15222144,2453991.5153,307.725,6.4294444,11.98
0.03367626807426522,1.4014637261840668E7,2.4399787185198596,WASP-177-b,3.071722,2457994.3714,334.795833337,-1.834444462,11.6
0.012348461726433528,1.945725399783312E7,2.2042764447358842,WASP-173A-b,1.38665318,2457288.8585,354.16666668,-34.61138891,11.3
0.011077153352354848,1.5747174997812806E7,3.1799989526346963,WASP-123-b,2.977641,2456845.17081,289.479166685,-32.860000025,11.1
0.006419236692330931,1.84257499278611E7,3.879459165803529,WASP-111-b,2.310965,2456275.75127,328.766666668,-22.612500022,10.3
0.014936884909391535,1.5654259776017547E7,2.468266749225919,TrES-2-b,2.4706133738,2453957.6355,286.8083333,49.3163889,11.41
0.017662568488958745,1.411033396699428E7,2.3275888176976745,TrES-1-b,3.0300722,2453186.80634,286.0375,36.6325,11.79
0.005390639063612085,2.1770791666723136E7,3.7270884728869316,MASCARA-1-b,2.14878,2457097.278,317.551551671,10.7388750191,8.3
6.861291848055382E-5,9058117.441289345,3.207779611246519,Kepler-444-f,9.740486,2454967.8791,289.754166667,41.634722236,9.0
4.2332561670560506E-5,9778450.66412819,2.971477327286286,Kepler-444-e,7.743493,2454968.0927,289.754166667,41.634722236,9.0
4.180063947634715E-5,1.0546320870384024E7,2.7551261526699977,Kepler-444-d,6.189392,2454967.7869,289.754166667,41.634722236,9.0
3.567989094019344E-5,1.1681219052417606E7,2.4874496672015383,Kepler-444-c,4.5458841,2454964.522,289.754166667,41.634722236,9.0
2.1598245750285978E-5,1.262590112455071E7,2.301336289411059,Kepler-444-b,3.60001053,2454966.2599,289.754166667,41.634722236,9.0
0.0014806133966663122,4723239.184585665,3.1249858367802195,Kepler-1652-b,38.09722,2454973.0045,294.365970609,49.91506033,10.22
1.601041146299794E-4,2.1888593691710647E7,1.879993628016888,Kepler-10-b,0.83749026,2455034.08687,285.6791667,50.2413889,11.16
2.57760440507392E-4,1.5502565182196485E7,2.435093418461976,K2-265-b,2.369172,2456981.6431,342.033333336,-14.494722241,11.1
0.0010526576698479677,1.1682062810514467E7,2.368198570165545,HIP-116454-b,9.1265,2456907.89,353.954166683,0.445555574,10.19
3.565522214111582E-4,1.353228385644389E7,2.2214325293834927,HD-219134-b,3.0931,2457126.7001,348.320833339,57.168333338,5.57
0.013903471263774616,1.4651845426715642E7,3.1724729533781924,HD-209458-b,3.52472,2453344.76824,330.7916667,18.8844444,7.65
0.02111490291265466,1.5407428226154601E7,2.01878633468206,HD-189733-b,2.21857312,2453988.80336,300.1791667,22.7108333,7.67
0.009522800140413916,1.5878508276945435E7,3.844784622059509,HAT-P-8-b,3.0763402,2454437.67657,343.0416667,35.4472222,10.17
0.008767865838647918,1.4781382595978504E7,3.8164750429452865,HAT-P-6-b,3.853003,2454035.67617,354.775,42.4661111,10.5
0.02118371930156958,1.7202919235431835E7,2.6728183251058297,HAT-P-41-b,2.694047,2454983.86167,297.3208,4.6725,11.087
0.011881987732229505,2.0809729610999342E7,2.395233748751866,HAT-P-23-b,1.212884,2454852.26464,306.125,16.7622222,11.94
0.015384669006521487,9281278.536222653,3.4845145390025345,HAT-P-17-b,10.338523,2454804.246,324.5375,30.4886111,10.54
0.0034273157818081354,1.1796683968742663E7,2.2370999495313173,HAT-P-11-b,4.887802443,2454605.89132,297.7083333,48.0808333,9.59
0.013336741169097988,1.3548773908470798E7,3.3480561312780375,HAT-P-1-b,4.46529976,2453979.93202,344.4458333,38.675,10.4
8.625022501779338E-4,1.0999437416744668E7,2.286836654788757,GJ-9827-d,6.201472,2457740.96099,352.104166695,-1.286388897,10.4
3.29708413070967E-4,1.3121555691952199E7,1.916991952569636,GJ-9827-c,3.648086,2457738.55194,352.104166695,-1.286388897,10.4
5.314226489996772E-4,1.8987175985551775E7,1.3247845117045027,GJ-9827-b,1.2089819,2457738.82671,352.104166695,-1.286388897,10.4
